NAME,B01001_002E,state,county,tract,block group
"Block Group 1, Census Tract 4003.01, Delaware County, Pennsylvania",803,42,045,400301,1
"Block Group 2, Census Tract 4003.01, Delaware County, Pennsylvania",546,42,045,400301,2
"Block Group 5, Census Tract 4007, Delaware County, Pennsylvania",382,42,045,400700,5
"Block Group 1, Census Tract 4007, Delaware County, Pennsylvania",759,42,045,400700,1
"Block Group 4, Census Tract 4007, Delaware County, Pennsylvania",778,42,045,400700,4
"Block Group 3, Census Tract 4007, Delaware County, Pennsylvania",278,42,045,400700,3
"Block Group 1, Census Tract 4010, Delaware County, Pennsylvania",544,42,045,401000,1
"Block Group 2, Census Tract 4015.01, Delaware County, Pennsylvania",964,42,045,401501,2
"Block Group 1, Census Tract 4030.02, Delaware County, Pennsylvania",529,42,045,403002,1
"Block Group 3, Census Tract 4025, Delaware County, Pennsylvania",531,42,045,402500,3
"Block Group 1, Census Tract 4025, Delaware County, Pennsylvania",686,42,045,402500,1
"Block Group 2, Census Tract 4030.02, Delaware County, Pennsylvania",738,42,045,403002,2
"Block Group 3, Census Tract 4091, Delaware County, Pennsylvania",1139,42,045,409100,3
"Block Group 2, Census Tract 4014.01, Delaware County, Pennsylvania",483,42,045,401401,2
"Block Group 4, Census Tract 4014.02, Delaware County, Pennsylvania",454,42,045,401402,4
"Block Group 2, Census Tract 4014.02, Delaware County, Pennsylvania",672,42,045,401402,2
"Block Group 1, Census Tract 4014.02, Delaware County, Pennsylvania",257,42,045,401402,1
"Block Group 1, Census Tract 4016, Delaware County, Pennsylvania",411,42,045,401600,1
"Block Group 2, Census Tract 4074.01, Delaware County, Pennsylvania",428,42,045,407401,2
"Block Group 1, Census Tract 4074.01, Delaware County, Pennsylvania",567,42,045,407401,1
"Block Group 3, Census Tract 4074.01, Delaware County, Pennsylvania",437,42,045,407401,3
"Block Group 2, Census Tract 4066, Delaware County, Pennsylvania",558,42,045,406600,2
"Block Group 1, Census Tract 4069.04, Delaware County, Pennsylvania",856,42,045,406904,1
"Block Group 4, Census Tract 4040.04, Delaware County, Pennsylvania",196,42,045,404004,4
"Block Group 1, Census Tract 4072.02, Delaware County, Pennsylvania",660,42,045,407202,1
"Block Group 2, Census Tract 4072.02, Delaware County, Pennsylvania",921,42,045,407202,2
"Block Group 2, Census Tract 4078.04, Delaware County, Pennsylvania",612,42,045,407804,2
"Block Group 3, Census Tract 4040.04, Delaware County, Pennsylvania",773,42,045,404004,3
"Block Group 1, Census Tract 4061, Delaware County, Pennsylvania",528,42,045,406100,1
"Block Group 2, Census Tract 4067, Delaware County, Pennsylvania",751,42,045,406700,2
"Block Group 1, Census Tract 4067, Delaware County, Pennsylvania",733,42,045,406700,1
"Block Group 3, Census Tract 4071.02, Delaware County, Pennsylvania",581,42,045,407102,3
"Block Group 1, Census Tract 4071.02, Delaware County, Pennsylvania",658,42,045,407102,1
"Block Group 2, Census Tract 4071.02, Delaware County, Pennsylvania",435,42,045,407102,2
"Block Group 1, Census Tract 4011.03, Delaware County, Pennsylvania",527,42,045,401103,1
"Block Group 2, Census Tract 4011.03, Delaware County, Pennsylvania",833,42,045,401103,2
"Block Group 3, Census Tract 4011.03, Delaware County, Pennsylvania",496,42,045,401103,3
"Block Group 2, Census Tract 4012, Delaware County, Pennsylvania",365,42,045,401200,2
"Block Group 1, Census Tract 4012, Delaware County, Pennsylvania",489,42,045,401200,1
"Block Group 3, Census Tract 4012, Delaware County, Pennsylvania",342,42,045,401200,3
"Block Group 4, Census Tract 4012, Delaware County, Pennsylvania",542,42,045,401200,4
"Block Group 2, Census Tract 4020, Delaware County, Pennsylvania",921,42,045,402000,2
"Block Group 1, Census Tract 4020, Delaware County, Pennsylvania",202,42,045,402000,1
"Block Group 1, Census Tract 4038, Delaware County, Pennsylvania",663,42,045,403800,1
"Block Group 6, Census Tract 4038, Delaware County, Pennsylvania",380,42,045,403800,6
"Block Group 2, Census Tract 4021, Delaware County, Pennsylvania",800,42,045,402100,2
"Block Group 4, Census Tract 4021, Delaware County, Pennsylvania",574,42,045,402100,4
"Block Group 1, Census Tract 4023, Delaware County, Pennsylvania",467,42,045,402300,1
"Block Group 2, Census Tract 4023, Delaware County, Pennsylvania",200,42,045,402300,2
"Block Group 2, Census Tract 4050, Delaware County, Pennsylvania",387,42,045,405000,2
"Block Group 1, Census Tract 4041.03, Delaware County, Pennsylvania",806,42,045,404103,1
"Block Group 2, Census Tract 4041.03, Delaware County, Pennsylvania",1009,42,045,404103,2
"Block Group 3, Census Tract 4050, Delaware County, Pennsylvania",240,42,045,405000,3
"Block Group 1, Census Tract 4009, Delaware County, Pennsylvania",746,42,045,400900,1
"Block Group 3, Census Tract 4031.01, Delaware County, Pennsylvania",472,42,045,403101,3
"Block Group 2, Census Tract 4031.01, Delaware County, Pennsylvania",729,42,045,403101,2
"Block Group 2, Census Tract 4031.03, Delaware County, Pennsylvania",420,42,045,403103,2
"Block Group 1, Census Tract 4078.01, Delaware County, Pennsylvania",395,42,045,407801,1
"Block Group 2, Census Tract 4078.01, Delaware County, Pennsylvania",560,42,045,407801,2
"Block Group 3, Census Tract 4078.01, Delaware County, Pennsylvania",514,42,045,407801,3
"Block Group 1, Census Tract 4079.02, Delaware County, Pennsylvania",990,42,045,407902,1
"Block Group 1, Census Tract 4079.03, Delaware County, Pennsylvania",780,42,045,407903,1
"Block Group 2, Census Tract 4079.03, Delaware County, Pennsylvania",953,42,045,407903,2
"Block Group 2, Census Tract 4062.02, Delaware County, Pennsylvania",408,42,045,406202,2
"Block Group 1, Census Tract 4062.02, Delaware County, Pennsylvania",842,42,045,406202,1
"Block Group 3, Census Tract 4062.02, Delaware County, Pennsylvania",772,42,045,406202,3
"Block Group 2, Census Tract 4068.01, Delaware County, Pennsylvania",858,42,045,406801,2
"Block Group 1, Census Tract 4068.01, Delaware County, Pennsylvania",707,42,045,406801,1
"Block Group 3, Census Tract 4068.02, Delaware County, Pennsylvania",535,42,045,406802,3
"Block Group 4, Census Tract 4068.02, Delaware County, Pennsylvania",413,42,045,406802,4
"Block Group 2, Census Tract 4068.02, Delaware County, Pennsylvania",513,42,045,406802,2
"Block Group 4, Census Tract 4076, Delaware County, Pennsylvania",691,42,045,407600,4
"Block Group 5, Census Tract 4076, Delaware County, Pennsylvania",311,42,045,407600,5
"Block Group 2, Census Tract 4036.02, Delaware County, Pennsylvania",323,42,045,403602,2
"Block Group 1, Census Tract 4036.02, Delaware County, Pennsylvania",534,42,045,403602,1
"Block Group 4, Census Tract 4041.01, Delaware County, Pennsylvania",601,42,045,404101,4
"Block Group 3, Census Tract 4041.01, Delaware County, Pennsylvania",582,42,045,404101,3
"Block Group 1, Census Tract 4041.01, Delaware County, Pennsylvania",1157,42,045,404101,1
"Block Group 2, Census Tract 4041.01, Delaware County, Pennsylvania",857,42,045,404101,2
"Block Group 2, Census Tract 4046, Delaware County, Pennsylvania",366,42,045,404600,2
"Block Group 1, Census Tract 4046, Delaware County, Pennsylvania",438,42,045,404600,1
"Block Group 3, Census Tract 4046, Delaware County, Pennsylvania",289,42,045,404600,3
"Block Group 2, Census Tract 4047, Delaware County, Pennsylvania",1646,42,045,404700,2
"Block Group 3, Census Tract 4079.01, Delaware County, Pennsylvania",380,42,045,407901,3
"Block Group 1, Census Tract 4047, Delaware County, Pennsylvania",371,42,045,404700,1
"Block Group 1, Census Tract 4072.01, Delaware County, Pennsylvania",804,42,045,407201,1
"Block Group 3, Census Tract 4072.01, Delaware County, Pennsylvania",1121,42,045,407201,3
"Block Group 1, Census Tract 4079.01, Delaware County, Pennsylvania",492,42,045,407901,1
"Block Group 2, Census Tract 4081.03, Delaware County, Pennsylvania",1055,42,045,408103,2
"Block Group 1, Census Tract 4091, Delaware County, Pennsylvania",465,42,045,409100,1
"Block Group 2, Census Tract 4091, Delaware County, Pennsylvania",478,42,045,409100,2
"Block Group 2, Census Tract 4078.03, Delaware County, Pennsylvania",618,42,045,407803,2
"Block Group 3, Census Tract 4078.03, Delaware County, Pennsylvania",550,42,045,407803,3
"Block Group 4, Census Tract 4028, Delaware County, Pennsylvania",554,42,045,402800,4
"Block Group 3, Census Tract 4028, Delaware County, Pennsylvania",229,42,045,402800,3
"Block Group 2, Census Tract 4054, Delaware County, Pennsylvania",668,42,045,405400,2
"Block Group 1, Census Tract 4087, Delaware County, Pennsylvania",433,42,045,408700,1
"Block Group 2, Census Tract 4087, Delaware County, Pennsylvania",347,42,045,408700,2
"Block Group 4, Census Tract 4087, Delaware County, Pennsylvania",684,42,045,408700,4
"Block Group 1, Census Tract 4099.03, Delaware County, Pennsylvania",579,42,045,409903,1
"Block Group 3, Census Tract 4099.03, Delaware County, Pennsylvania",836,42,045,409903,3
"Block Group 4, Census Tract 4103.01, Delaware County, Pennsylvania",649,42,045,410301,4
"Block Group 3, Census Tract 4103.01, Delaware County, Pennsylvania",464,42,045,410301,3
"Block Group 5, Census Tract 4103.01, Delaware County, Pennsylvania",746,42,045,410301,5
"Block Group 2, Census Tract 4003.02, Delaware County, Pennsylvania",692,42,045,400302,2
"Block Group 3, Census Tract 4003.02, Delaware County, Pennsylvania",608,42,045,400302,3
"Block Group 3, Census Tract 4015.02, Delaware County, Pennsylvania",549,42,045,401502,3
"Block Group 1, Census Tract 4015.02, Delaware County, Pennsylvania",707,42,045,401502,1
"Block Group 2, Census Tract 4027, Delaware County, Pennsylvania",293,42,045,402700,2
"Block Group 2, Census Tract 4043, Delaware County, Pennsylvania",593,42,045,404300,2
